Title,Category,Tags
Python Programming,Programming,"python,coding,beginner,technology"
Advanced Python,Programming,"python,advanced,coding"
Machine Learning Basics,AI,"python,ai,machine learning,data"
Deep Learning,AI,"ai,neural networks,python"
Artificial Intelligence,AI,"ai,technology,python"
Data Science,Data,"python,data,statistics"
SQL Database,Database,"sql,database,data"
Cyber Security,Cyber,"security,network,technology"
Ethical Hacking,Cyber,"security,hacking,network"
Cloud Computing,Cloud,"aws,cloud,technology"
DevOps,Cloud,"docker,linux,cloud"
Android Development,Mobile,"android,java,mobile"
Flutter Development,Mobile,"flutter,dart,mobile"
Web Development,Web,"html,css,javascript"
React JS,Web,"react,javascript,frontend"
UI UX Design,Design,"design,figma,creativity"
Graphic Design,Design,"photoshop,illustrator,design"
Digital Marketing,Marketing,"seo,marketing,business"
Content Writing,Marketing,"writing,marketing"
Game Development,Gaming,"unity,c#,gaming"
